job_id,job_key,company_name,url,title,location,description,qualifications,working_condition,ai_summary,title_ja,description_ja,qualifications_ja,working_condition_ja
1068719,appier__1068719,appier,https://job-boards.greenhouse.io/appier/jobs/1068719,Machine Learning Scientist (Intern),"Taipei, Taiwan",,,,台北での機械学習サイエンティストインターンシップの求人です。応募要件や勤務条件の詳細は記載されていませんが、機械学習に関心のある方に適しています。興味がある方はぜひご応募ください。,機械学習サイエンティスト（インターン）,当社では、機械学習の研究と実装を行うインターンを募集しています。データ分析やモデルの開発に携わり、実践的な経験を積むことができます。,機械学習やデータサイエンスに関する基礎知識を持っていること。プログラミング言語（Pythonなど）の経験があることが望ましい。,フルタイムまたはパートタイムでの勤務が可能。リモート勤務も相談可。
1501724,appier__1501724,appier,https://job-boards.greenhouse.io/appier/jobs/1501724,Campaign Analyst,"Taipei, Taiwan",,,,職種はキャンペーンアナリストで、勤務地は台湾の台北です。具体的な仕事内容や応募要件は記載されていませんが、マーケティングやデータ分析に関心がある方に適しています。勤務条件についての情報も不足しています。,キャンペーンアナリスト,キャンペーンアナリストは、マーケティングキャンペーンの効果を分析し、データに基づいたインサイトを提供する役割を担います。データを収集・分析し、キャンペーンのパフォーマンスを最適化するための提案を行います。,データ分析の経験があり、Excelやデータビジュアライゼーションツールに精通していること。マーケティングや関連分野の学位が望ましい。コミュニケーション能力が高く、チームでの協力ができること。,フルタイムの勤務。リモートワークの可能性あり。
1510668,appier__1510668,appier,https://job-boards.greenhouse.io/appier/jobs/1510668,"Sales Manager(IC, Hunter), Ad Cloud","Tokyo, Japan",,,,"職種はAd CloudのSales Manager(IC, Hunter)で、勤務地は東京です。応募者は営業経験が求められ、特に新規開拓に強い方が望まれます。勤務条件の詳細は記載されていませんが、営業職に興味がある方に適しています。",営業マネージャー（IC、ハンター）、アドクラウド,,,
1623669,appier__1623669,appier,https://job-boards.greenhouse.io/appier/jobs/1623669,Campaign Management Intern,"Taipei, Taiwan",,,,キャンペーン管理インターンの募集で、勤務地は台湾・台北です。具体的な仕事内容や応募要件は記載されていませんが、インターンシップの形式での勤務が求められます。興味のある方は詳細を確認の上、応募を検討してください。,キャンペーン管理インターン,私たちのチームでは、キャンペーンの計画と実行をサポートするインターンを募集しています。データ分析やマーケティング戦略の実施に関与し、実務経験を積むことができます。,マーケティングやビジネス関連の学位を持っていること。データ分析に興味があり、基本的なExcelスキルを持っていることが望ましい。,週20時間の勤務。リモート勤務も可能です。
1686845,appier__1686845,appier,https://job-boards.greenhouse.io/appier/jobs/1686845,行政專員 Administrative Specialist (1 year contractor),"Taipei, Taiwan",,,,行政專員（1年契約）を募集しています。勤務地は台北、台湾です。具体的な仕事内容や応募要件は記載されていませんが、契約期間が定められています。,行政専門員,行政業務をサポートする役割で、契約期間は1年です。,関連する業務経験があり、コミュニケーション能力が高い方を求めています。,契約社員としての雇用形態で、勤務時間や給与については面談時に相談します。
1780540,appier__1780540,appier,https://job-boards.greenhouse.io/appier/jobs/1780540,"Sales Business Development Manager, Advertising Solutions","Hồ Chí Minh, Vietnam",,,,職種は広告ソリューションの営業ビジネス開発マネージャーで、勤務地はベトナムのホーチミンです。応募要件や勤務条件の詳細は記載されていませんが、営業経験や広告業界の知識が求められる可能性があります。興味のある方は、具体的な条件を確認の上、応募を検討してください。,営業ビジネス開発マネージャー（広告ソリューション）,,,
2044280,appier__2044280,appier,https://job-boards.greenhouse.io/appier/jobs/2044280,"Account Manager, South Korea (Advertising Solutions)","Seoul, South Korea",,,,広告ソリューションのアカウントマネージャーを韓国・ソウルで募集しています。応募者は関連業界での経験が求められ、クライアントとの関係構築やプロジェクト管理が主な業務です。詳細な勤務条件は記載されていませんが、国際的な環境での仕事に興味がある方に適しています。,アカウントマネージャー（韓国・広告ソリューション）,広告ソリューションを提供する企業で、韓国市場におけるアカウント管理を担当します。クライアントとの関係構築やプロジェクトの進行管理を行い、ビジネスの成長をサポートします。,関連分野での経験があり、優れたコミュニケーション能力を持つ方。韓国語と英語の両方に堪能であることが望ましい。,フルタイムのポジションで、リモートワークの可能性があります。
4002539008,paypaycard__4002539008,paypaycard,https://job-boards.greenhouse.io/paypaycard/jobs/4002539008,マーケティング / マネジャー候補,Hybrid,,,,マーケティングのマネジャー候補を募集しており、勤務地はハイブリッド勤務です。応募要件や具体的な仕事内容は記載されていませんが、マーケティングに関する経験が求められる可能性があります。勤務条件についての詳細も不明です。,マーケティングマネージャー候補,当社のマーケティングチームで、戦略の立案や実行を担当していただきます。市場調査や競合分析を行い、効果的なマーケティングキャンペーンを展開する役割です。,マーケティング関連の経験が3年以上ある方。デジタルマーケティングの知識がある方歓迎。コミュニケーション能力が高く、チームでの協力ができる方。,フルタイム、リモート勤務可。給与は経験に応じて相談。
4002540008,paypaycard__4002540008,paypaycard,https://job-boards.greenhouse.io/paypaycard/jobs/4002540008,マーケティング組織部門長候補 / 部長候補,Hybrid,,,,マーケティング組織部門長候補として、ハイブリッド勤務でのポジションです。応募者はマーケティングの経験とリーダーシップスキルが求められます。詳細な仕事内容や勤務条件は記載されていませんが、部長候補としての責任が期待されます。,マーケティング部門長候補,当社のマーケティング組織をリードし、戦略的なマーケティング活動を推進する役割を担います。市場分析やブランド戦略の策定、チームのマネジメントを行い、ビジネスの成長を支援します。,マーケティング分野での豊富な経験、リーダーシップ能力、戦略的思考が求められます。デジタルマーケティングやデータ分析の知識があると尚良し。,フルタイム、リモート勤務可。
4002544008,paypaycard__4002544008,paypaycard,https://job-boards.greenhouse.io/paypaycard/jobs/4002544008,プロダクトマネジャー,Hybrid,,,,プロダクトマネジャーの求人で、勤務地はハイブリッド勤務です。応募要件や具体的な仕事内容は記載されていません。勤務条件についての詳細も不明ですが、柔軟な働き方が期待されます。,プロダクトマネージャー,プロダクトマネージャーとして、製品の開発と戦略的な方向性を担当します。市場調査を行い、顧客のニーズを把握し、チームと連携して製品のビジョンを実現します。,関連分野の学位または同等の経験。プロダクトマネジメントの経験があること。優れたコミュニケーション能力とチームワークスキル。,フルタイム勤務。リモートワークの可能性あり。
